check_id,area,requirement,observed,status,evidence,limitation
PROV-04,Evidence traceability,Official upstream evidence is immutable,15 URL rows have access dates but no content hashes,PASS_WITH_LIMITATION,evidence_manifest.csv,Archive or hash upstream content for long-term verification
REPRO-01,Computational reproducibility,Candidate artifacts reproduce,8 of 8 files are byte-identical,PASS,fresh temporary read-only run,
REPRO-02,Computational reproducibility,Independent audit artifacts reproduce,3 of 3 files are byte-identical,PASS,fresh temporary read-only run,
REPRO-03,Computational reproducibility,Relevant regression tests pass,52 of 52 pass,PASS,Django test run,
REPRO-04,Computational reproducibility,Live API or web is required,No live NVD Dictionary web or upstream call is executed,PASS,imports code path and guardrails,
REPRO-05,Computational reproducibility,Full raw-evidence extraction is self-contained,Derived evidence is hashed but raw extraction paths are external,PASS_WITH_LIMITATION,components and package evidence,Raw firmware extraction environment/tooling must be preserved separately
REPRO-06,Computational reproducibility,Human-validation HTML is fully generated from core rows,Core CSV/JSON is reproducible but full HTML lacks a from-scratch generator,PASS_WITH_LIMITATION,HTML refresh command,Presentation artifact reproduction is partial
SAFE-01,Safety,Ground Truth DB remains unchanged,0 to 0,PASS,read-only commands and final DB count,
SAFE-02,Safety,Existing artifacts remain unchanged,Existing-artifact aggregate hash is unchanged,PASS,pre/post SHA-256 aggregate,
SAFE-03,Safety,No migration production hook or commit is created,"migration=0; production hook=0; commit=0",PASS,git status and command guardrails,
